"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig","gene"
"AC005998.1",3.11777847720025e-09,0.325715588514879,0.24,0.377,0.000181460942930009,"up","AC005998.1"
"AC137561.1",3.11815696112659e-09,0.150249187444945,0.094,0.264,0.00018148297145149,"up","AC137561.1"
"AC092376.2",3.11830080444726e-09,0.211266390718007,0.344,0.509,0.000181491343420439,"up","AC092376.2"
"TAL2",3.12071628105546e-09,0.152830240839447,0.146,0.34,0.00018163192898999,"up","TAL2"
"ADGRD2",3.12575103895342e-09,0.247935316195234,0.229,0.406,0.000181924961969167,"up","ADGRD2"
"AP001198.1",3.1397358773402e-09,0.170941191908601,0.146,0.302,0.000182738907532954,"up","AP001198.1"
"TAS2R43",3.14624177885268e-09,0.160303871478304,0.125,0.311,0.000183117564012784,"up","TAS2R43"
"AC079766.1",3.15519070597357e-09,0.148065895441185,0.198,0.453,0.000183638409469074,"up","AC079766.1"
"GAS5-AS1",3.21606496211237e-09,0.290364365164264,0.385,0.623,0.000187181412924864,"up","GAS5-AS1"
"AL138731.1",3.23457782873839e-09,0.144380182571791,0.104,0.283,0.000188258898788232,"up","AL138731.1"
"AC100861.2",3.26892421445568e-09,0.134825410138141,0.115,0.321,0.000190257927129749,"up","AC100861.2"
"AC093510.2",3.2725325447077e-09,0.123212427679849,0.146,0.349,0.000190467939167078,"up","AC093510.2"
"AC132938.1",3.28799269309405e-09,0.10844996431013,0.292,0.491,0.00019136775072346,"up","AC132938.1"
"AL355816.1",3.29619314387457e-09,0.140550494847567,0.156,0.415,0.000191845033359787,"up","AL355816.1"
"GAGE10",3.31518807885817e-09,0.215470705871781,0.167,0.368,0.000192950576565703,"up","GAGE10"
"LINC00299",3.35235642410211e-09,0.283445487301719,0.229,0.396,0.000195113848595591,"up","LINC00299"
"IGBP1-AS2",3.35472696024052e-09,0.171189476903185,0.115,0.274,0.000195251818539919,"up","IGBP1-AS2"
"CASZ1",3.36815113515502e-09,1.19200011133138,0.906,1,0.000196033132368293,"up","CASZ1"
"ZNF695",3.38567752500521e-09,0.349446160855668,0.219,0.5,0.000197053203310353,"up","ZNF695"
"AP003419.3",3.39677731634368e-09,0.139744790884867,0.177,0.443,0.000197699233365835,"up","AP003419.3"
"AC140725.1",3.45618876393965e-09,0.156659154254236,0.135,0.292,0.000201157098438815,"up","AC140725.1"
